City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tura,IN,75.18,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
3,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
7,Rio Grande,BR,71.01,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
8,Kaputa,ZM,66.88,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
9,Shiyan,CN,70.0,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
12,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
13,Rikitea,PF,79.48,clear sky,-23.1203,-134.9692,Pension Maro'i
18,Hambantota,LK,75.2,broken clouds,6.1241,81.1185,Bungalow 63
21,Mitsamiouli,KM,82.11,overcast clouds,-11.3847,43.2844,Foyer ADM
22,San Juan,AR,65.41,clear sky,-31.5375,-68.5364,Hotel Provincial
23,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,Ewa Beach,US,84.2,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
29,Todos Santos,MX,72.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
34,Havelock,US,68.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
35,Marolambo,MG,67.41,clear sky,-20.05,48.1167,local guide suport centre
36,Adrar,MR,76.5,clear sky,20.5022,-10.0711,
38,Kawalu,ID,79.05,few clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
41,Kalmunai,LK,78.51,overcast clouds,7.4167,81.8167,VS Villa
42,San Vicente,AR,68.88,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
44,Binga,ZW,70.52,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
45,Baiao,BR,71.76,broken clouds,-2.7906,-49.6717,Hotel Eurosono
46,Bengkulu,ID,75.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
52,General Roca,AR,66.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
53,Jieshi,CN,75.99,clear sky,22.8134,115.8257,Yuehai Hotel
58,Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
60,Ambilobe,MG,72.0,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
61,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
65,Bandarbeyla,SO,77.72,few clouds,9.4942,50.8122,JABIR HOTEL
66,Katsuura,JP,66.0,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
68,Pahrump,US,73.0,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
